ClientID,Nom,Email,Ville,DateInscription
C106,Client 106,client106@email.com,Lyon,2023-08-23
C133,Client 133,client133@email.com,Marseille,2022-02-07
C064,Client 64,client64@email.com,Paris,2023-08-09
C047,Client 47,client47@email.com,Marseille,2022-11-07
C073,Client 73,client73@email.com,Bordeaux,2023-03-31
C048,Client 48,client48@email.com,Paris,2024-03-21
C098,Client 98,client98@email.com,Lyon,2024-03-12
C003,Client 3,client3@email.com,Lyon,2023-07-12
C035,Client 35,client35@email.com,Toulouse,2023-10-14
C045,Client 45,client45@email.com,Marseille,2022-02-11
C070,Client 70,client70@email.com,Paris,2023-11-06
C029,Client 29,,Toulouse,2024-04-28
C037,Client 37,client37@email.com,Toulouse,2024-01-20
C012,Client 12,client12@email.com,Lyon,2022-01-24
C149,Client 149,client149@email.com,Marseille,2022-05-05
C058,Client 58,client58@email.com,Toulouse,2023-11-15
C124,Client 124,,Toulouse,2023-11-20
C128,Client 128,client128@email.com,Lyon,2023-04-01
C099,Client 99,client99@email.com,Marseille,2023-07-08
C120,Client 120,,Paris,2023-11-20
C021,Client 21,client21@email.com,Bordeaux,2023-08-03
C068,Client 68,client68@email.com,Paris,2023-08-07
C071,Client 71,client71@email.com,Lyon,2022-01-20
C121,Client 121,client121@email.com,Bordeaux,2023-12-15
C089,Client 89,client89@email.com,Bordeaux,2024-02-10
C026,Client 26,client26@email.com,Paris,2022-12-02
C132,Client 132,client132@email.com,Lyon,2022-08-28
C095,Client 95,,Bordeaux,2023-10-30
C125,Client 125,,Toulouse,2024-04-27
C011,Client 11,,Bordeaux,2022-11-16
C090,Client 90,client90@email.com,Paris,2022-10-03
C147,Client 147,client147@email.com,Paris,2024-05-24
C104,Client 104,,Toulouse,2022-10-07
C131,Client 131,,Bordeaux,2023-10-03
C143,Client 143,client143@email.com,Lyon,2024-05-18
C093,Client 93,client93@email.com,Lyon,2022-01-20
C072,Client 72,client72@email.com,Lyon,2022-09-09
C096,Client 96,client96@email.com,Marseille,2023-08-05
C005,Client 5,client5@email.com,Marseille,2024-04-11
C042,Client 42,client42@email.com,Lyon,2023-07-27
C041,Client 41,client41@email.com,Lyon,2023-04-12
C116,Client 116,client116@email.com,Marseille,2022-12-16
C112,Client 112,client112@email.com,Bordeaux,2023-06-01
C023,Client 23,client23@email.com,Marseille,2022-11-03
C058,Client 58,client58@email.com,Toulouse,2023-11-15
C107,Client 107,client107@email.com,Marseille,2022-02-16
C036,Client 36,client36@email.com,Toulouse,2023-12-07
C105,Client 105,client105@email.com,Toulouse,2022-12-26
C148,Client 148,client148@email.com,Toulouse,2024-05-14
C117,Client 117,client117@email.com,Bordeaux,2022-12-03
C063,Client 63,client63@email.com,Paris,2024-06-05
C100,Client 100,client100@email.com,Lyon,2023-07-05
C094,Client 94,client94@email.com,Bordeaux,2023-11-23
C086,Client 86,client86@email.com,Marseille,2022-09-22
C034,Client 34,client34@email.com,Toulouse,2024-06-11
C001,Client 1,,Marseille,2023-06-25
C075,Client 75,client75@email.com,Bordeaux,2022-02-16
C013,Client 13,,Bordeaux,2023-08-30
C141,Client 141,,Marseille,2023-08-07
C039,Client 39,client39@email.com,Toulouse,2023-12-30
C020,Client 20,client20@email.com,Lyon,2024-04-04
C031,Client 31,client31@email.com,Lyon,2023-05-03
C010,Client 10,client10@email.com,Marseille,2022-08-07
C146,Client 146,,Toulouse,2023-10-19
C069,Client 69,client69@email.com,Toulouse,2023-05-30
C079,Client 79,client79@email.com,Paris,2022-04-12
C137,Client 137,client137@email.com,Bordeaux,2022-07-18
C056,Client 56,client56@email.com,Bordeaux,2022-05-16
C040,Client 40,client40@email.com,Bordeaux,2024-06-02
C083,Client 83,client83@email.com,Bordeaux,2022-11-30
C126,Client 126,client126@email.com,Toulouse,2022-07-01
C006,Client 6,client6@email.com,Toulouse,2024-03-05
C018,Client 18,,Paris,2023-04-05
C142,Client 142,client142@email.com,Bordeaux,2024-01-17
C024,Client 24,client24@email.com,Bordeaux,2023-11-20
C057,Client 57,client57@email.com,Bordeaux,2023-10-14
C137,Client 137,client137@email.com,Bordeaux,2022-07-18
C054,Client 54,client54@email.com,Bordeaux,2023-04-09
C046,Client 46,client46@email.com,Paris,2023-01-16
C135,Client 135,,Toulouse,2022-04-24
C066,Client 66,client66@email.com,Bordeaux,2022-03-29
C082,Client 82,client82@email.com,Toulouse,2023-11-26
C129,Client 129,,Paris,2024-02-16
C074,Client 74,,Bordeaux,2023-09-14
C092,Client 92,client92@email.com,Toulouse,2022-01-30
C093,Client 93,client93@email.com,Lyon,2022-01-20
C139,Client 139,client139@email.com,Bordeaux,2022-06-29
C145,Client 145,client145@email.com,Bordeaux,2023-04-10
C012,Client 12,client12@email.com,Lyon,2022-01-24
C091,Client 91,,Toulouse,2023-07-21
C150,Client 150,client150@email.com,Toulouse,2023-05-23
C144,Client 144,client144@email.com,Bordeaux,2023-09-22
C076,Client 76,client76@email.com,Paris,2022-12-15
C020,Client 20,client20@email.com,Lyon,2024-04-04
C067,Client 67,client67@email.com,Bordeaux,2023-07-09
C108,Client 108,client108@email.com,Bordeaux,2023-07-31
C004,Client 4,client4@email.com,Bordeaux,2023-10-30
C127,Client 127,client127@email.com,Paris,2022-05-08
C084,Client 84,client84@email.com,Paris,2022-11-02
C044,Client 44,client44@email.com,Paris,2022-05-04
C119,Client 119,client119@email.com,Bordeaux,2023-05-03
C103,Client 103,client103@email.com,Lyon,2022-01-01
C110,Client 110,client110@email.com,Lyon,2024-01-13
C055,Client 55,client55@email.com,Toulouse,2023-05-02
C102,Client 102,,Toulouse,2024-04-29
C060,Client 60,client60@email.com,Bordeaux,2023-02-24
C050,Client 50,,Marseille,2022-10-18
C059,Client 59,client59@email.com,Marseille,2022-04-02
C002,Client 2,client2@email.com,Lyon,2023-12-19
C118,Client 118,,Lyon,2023-10-24
C109,Client 109,,Paris,2023-02-09
C101,Client 101,client101@email.com,Bordeaux,2023-04-08
C077,Client 77,client77@email.com,Toulouse,2022-01-25
C130,Client 130,client130@email.com,Marseille,2022-07-16
C030,Client 30,client30@email.com,Paris,2022-03-05
C053,Client 53,client53@email.com,Toulouse,2023-05-08
C138,Client 138,client138@email.com,Bordeaux,2023-11-20
C007,Client 7,client7@email.com,Marseille,2022-03-28
C013,Client 13,,Bordeaux,2023-08-30
C052,Client 52,,Marseille,2022-03-11
C049,Client 49,,Bordeaux,2023-03-08
C109,Client 109,,Paris,2023-02-09
C038,Client 38,client38@email.com,Lyon,2022-05-28
C115,Client 115,client115@email.com,Marseille,2022-09-09
C072,Client 72,client72@email.com,Lyon,2022-09-09
C101,Client 101,client101@email.com,Bordeaux,2023-04-08
C087,Client 87,client87@email.com,Paris,2022-02-23
C027,Client 27,client27@email.com,Lyon,2024-04-22
C136,Client 136,client136@email.com,Bordeaux,2023-05-28
C081,Client 81,client81@email.com,Paris,2022-06-07
C078,Client 78,client78@email.com,Marseille,2023-01-27
C015,Client 15,client15@email.com,Bordeaux,2022-04-24
C114,Client 114,client114@email.com,Marseille,2024-02-10
C140,Client 140,,Lyon,2024-02-03
C033,Client 33,client33@email.com,Toulouse,2023-08-26
C147,Client 147,client147@email.com,Paris,2024-05-24
C081,Client 81,client81@email.com,Paris,2022-06-07
C097,Client 97,client97@email.com,Paris,2024-05-16
C009,Client 9,client9@email.com,Lyon,2023-06-17
C016,Client 16,client16@email.com,Marseille,2022-09-23
C022,Client 22,client22@email.com,Bordeaux,2024-05-14
C032,Client 32,client32@email.com,Paris,2023-01-14
C115,Client 115,client115@email.com,Marseille,2022-09-09
C050,Client 50,,Marseille,2022-10-18
C113,Client 113,client113@email.com,Marseille,2023-11-30
C019,Client 19,client19@email.com,Paris,2023-04-10
C061,Client 61,client61@email.com,Toulouse,2022-12-14
C134,Client 134,client134@email.com,Bordeaux,2022-08-03
C108,Client 108,client108@email.com,Bordeaux,2023-07-31
C014,Client 14,client14@email.com,Marseille,2024-01-14
C088,Client 88,client88@email.com,Bordeaux,2023-08-24
C062,Client 62,client62@email.com,Toulouse,2024-01-24
C122,Client 122,client122@email.com,Toulouse,2023-07-06
C028,Client 28,client28@email.com,Toulouse,2022-04-11
C064,Client 64,client64@email.com,Paris,2023-08-09
C065,Client 65,client65@email.com,Marseille,2023-07-29
C086,Client 86,client86@email.com,Marseille,2022-09-22
C133,Client 133,client133@email.com,Marseille,2022-02-07
C007,Client 7,client7@email.com,Marseille,2022-03-28
C111,Client 111,client111@email.com,Marseille,2024-06-18
C123,Client 123,,Paris,2023-07-06
C008,Client 8,,Marseille,2023-02-04
C025,Client 25,,Toulouse,2023-06-17
C021,Client 21,client21@email.com,Bordeaux,2023-08-03
C002,Client 2,client2@email.com,Lyon,2023-12-19
C017,Client 17,client17@email.com,Marseille,2022-05-07
C080,Client 80,client80@email.com,Marseille,2022-05-28
C085,Client 85,client85@email.com,Marseille,2022-05-26
C043,Client 43,client43@email.com,Paris,2023-09-09
C051,Client 51,client51@email.com,Toulouse,2022-01-03
