EmployeeID,Nom,Categorie,Departement,SalaireBrut
E0001,Employé 1,Manager,RH,3916.62
E0002,Employé 2,Manager,Sales,6217.77
E0003,Employé 3,Junior,Sales,7130.63
E0004,Employé 4,Manager,Sales,7464.18
E0005,Employé 5,Junior,Sales,7460.37
E0006,Employé 6,Manager,Marketing,3342.51
E0007,Employé 7,Senior,Marketing,3516.11
E0008,Employé 8,Confirmé,RH,7644.93
E0009,Employé 9,Manager,Finance,2725.75
E0010,Employé 10,Manager,IT,5344.1
E0011,Employé 11,Confirmé,Sales,5348.78
E0012,Employé 12,Senior,RH,3996.05
E0013,Employé 13,Senior,Marketing,4548.08
E0014,Employé 14,Confirmé,Sales,3958.33
E0015,Employé 15,Senior,Finance,7975.63
E0016,Employé 16,Senior,Sales,6470.3
E0017,Employé 17,Manager,Marketing,4991.35
E0018,Employé 18,Confirmé,IT,5780.77
E0019,Employé 19,Junior,IT,5897.01
E0020,Employé 20,Senior,Sales,5362.15
E0021,Employé 21,Confirmé,Sales,3231.54
E0022,Employé 22,Manager,RH,7485.93
E0023,Employé 23,Junior,Finance,6860.84
E0024,Employé 24,Senior,Marketing,4417.12
E0025,Employé 25,Senior,RH,3890.54
E0026,Employé 26,Confirmé,RH,7130.16
E0027,Employé 27,Manager,Finance,5592.04
E0028,Employé 28,Junior,RH,5686.12
E0029,Employé 29,Senior,Finance,8854.57
E0030,Employé 30,Senior,IT,5845.52
E0031,Employé 31,Manager,Finance,7443.9
E0032,Employé 32,Junior,IT,5566.83
E0033,Employé 33,Senior,Marketing,6393.5
E0034,Employé 34,Confirmé,RH,8068.3
E0035,Employé 35,Manager,Finance,7958.17
E0036,Employé 36,Senior,Finance,8485.87
E0037,Employé 37,Confirmé,Marketing,3838.35
E0038,Employé 38,Senior,RH,6125.99
E0039,Employé 39,Junior,Marketing,7208.18
E0040,Employé 40,Confirmé,Finance,4049.84
E0041,Employé 41,Senior,RH,5561.64
E0042,Employé 42,Manager,Finance,8278.46
E0043,Employé 43,Manager,IT,6079.03
E0044,Employé 44,Manager,IT,5531.81
E0045,Employé 45,Manager,RH,3861.16
E0046,Employé 46,Senior,IT,3882.34
E0047,Employé 47,Senior,Finance,4463.68
E0048,Employé 48,Confirmé,Sales,6325.06
E0049,Employé 49,Senior,RH,6329.31
E0050,Employé 50,Junior,RH,4559.04
E0051,Employé 51,Senior,Finance,6148.17
E0052,Employé 52,Senior,Sales,2536.58
E0053,Employé 53,Junior,Sales,6778.84
E0054,Employé 54,Manager,Marketing,5653.52
E0055,Employé 55,Junior,Finance,4921.48
E0056,Employé 56,Junior,IT,5266.98
E0057,Employé 57,Junior,Marketing,5510.03
E0058,Employé 58,Senior,RH,6549.19
E0059,Employé 59,Manager,IT,6164.84
E0060,Employé 60,Confirmé,RH,5149.67
E0061,Employé 61,Junior,Sales,4058.59
E0062,Employé 62,Junior,Marketing,3689.57
E0063,Employé 63,Senior,IT,5287.26
E0064,Employé 64,Manager,Marketing,8459.56
E0065,Employé 65,Confirmé,IT,5391.93
E0066,Employé 66,Senior,Sales,7192.32
E0067,Employé 67,Confirmé,IT,4550.04
E0068,Employé 68,Senior,Finance,3911.52
E0069,Employé 69,Senior,Finance,3735.4
E0070,Employé 70,Manager,RH,6689.86
E0071,Employé 71,Junior,IT,3479.46
E0072,Employé 72,Senior,Marketing,6072.29
E0073,Employé 73,Junior,Sales,7019.55
E0074,Employé 74,Manager,IT,6364.03
E0075,Employé 75,Senior,Finance,6546.92
E0076,Employé 76,Confirmé,Sales,8076.87
E0077,Employé 77,Confirmé,RH,6663.1
E0078,Employé 78,Confirmé,Finance,8992.68
E0079,Employé 79,Senior,Sales,2784.05
E0080,Employé 80,Confirmé,Marketing,6313.64
E0081,Employé 81,Junior,Marketing,3272.43
E0082,Employé 82,Confirmé,Marketing,5278.97
E0083,Employé 83,Junior,IT,6255.68
E0084,Employé 84,Manager,Finance,5753.78
E0085,Employé 85,Junior,Finance,4303.04
E0086,Employé 86,Manager,IT,5201.02
E0087,Employé 87,Junior,Sales,8582.92
E0088,Employé 88,Senior,Finance,4498.59
E0089,Employé 89,Senior,Finance,6948.3
E0090,Employé 90,Manager,Marketing,6979.6
E0091,Employé 91,Junior,RH,5757.94
E0092,Employé 92,Manager,Marketing,7676.36
E0093,Employé 93,Junior,IT,8667.76
E0094,Employé 94,Manager,Marketing,4159.13
E0095,Employé 95,Manager,Finance,8582.79
E0096,Employé 96,Junior,Marketing,7271.79
E0097,Employé 97,Confirmé,Sales,4945.73
E0098,Employé 98,Confirmé,Marketing,5725.93
E0099,Employé 99,Confirmé,IT,6226.06
E0100,Employé 100,Senior,Sales,8779.69
